id,max_corsi,corsi_minmax,conditional_correct,conditional_minmax,mental_accuracy,mental_minmax,spatial_arrag_correct,spatial_arrag_minmax,spatial_rel_correct,spatial_rel_minmax,nvc_count,nvc_count_maxscaled,crt_correct,crt_minmax,NFC,NFC_minmax,verbal,verbal_minmax,wason_correct,wason_minmax,jacc
participant_43,9,0.8888888888888888,1.0,1.0,0.15,0.15,0.35,0.35,0.71875,0.71875,0,0.0,0.8571428571428571,0.8571428571428571,4.0,0.5,0.875,0.875,0.0,0.0,0.6471354166666666
participant_44,8,0.7777777777777778,0.5,0.5,0.3,0.3,0.55,0.55,0.375,0.375,1,0.03125,0.14285714285714285,0.14285714285714285,3.5,0.4166666666666667,0.125,0.125,0.5,0.5,0.15234375
participant_45,9,0.8888888888888888,0.5,0.5,0.35,0.35,0.8,0.8,0.53125,0.53125,1,0.03125,0.2857142857142857,0.2857142857142857,4.5,0.5833333333333334,0.0,0.0,0.5,0.5,0.17578125
participant_46,8,0.7777777777777778,0.75,0.75,0.7368421052631579,0.7368421052631579,0.85,0.85,0.75,0.75,4,0.125,0.8571428571428571,0.8571428571428571,4.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.58984375
participant_47,6,0.5555555555555556,0.375,0.375,0.45,0.45,0.95,0.95,0.65625,0.65625,10,0.3125,0.7142857142857143,0.7142857142857143,3.75,0.4583333333333333,0.75,0.75,0.5,0.5,0.128125
participant_48,9,0.8888888888888888,0.875,0.875,0.7368421052631579,0.7368421052631579,0.95,0.95,1.0,1.0,16,0.5,0.5714285714285714,0.5714285714285714,3.25,0.375,0.5,0.5,0.3333333333333333,0.3333333333333333,0.515625
participant_5,5,0.4444444444444444,0.25,0.25,0.2,0.2,0.5,0.5,0.34375,0.34375,10,0.3125,0.14285714285714285,0.14285714285714285,4.0,0.5,0.0,0.0,0.0,0.0,0.20052083333333334
participant_50,7,0.6666666666666666,0.5,0.5,0.15,0.15,0.85,0.85,0.5625,0.5625,4,0.125,0.14285714285714285,0.14285714285714285,4.25,0.5416666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375
participant_52,7,0.6666666666666666,0.5,0.5,0.15,0.15,0.6,0.6,0.4375,0.4375,3,0.09375,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.14348958333333334
participant_53,7,0.6666666666666666,0.875,0.875,0.6666666666666666,0.6666666666666666,0.85,0.85,0.65625,0.65625,4,0.125,0.7142857142857143,0.7142857142857143,4.5,0.5833333333333334,0.75,0.75,0.5,0.5,0.69140625
participant_54,7,0.6666666666666666,0.5,0.5,0.35,0.35,0.75,0.75,0.40625,0.40625,0,0.0,0.8571428571428571,0.8571428571428571,3.75,0.4583333333333333,0.125,0.125,0.5,0.5,0.07421875
participant_56,9,0.8888888888888888,0.375,0.375,0.4,0.4,0.65,0.65,0.40625,0.40625,1,0.03125,0.2857142857142857,0.2857142857142857,5.25,0.7083333333333334,0.875,0.875,0.5,0.5,0.3359375
participant_57,9,0.8888888888888888,0.5,0.5,0.8666666666666667,0.8666666666666667,0.95,0.95,0.625,0.625,4,0.125,0.5714285714285714,0.5714285714285714,3.25,0.375,0.125,0.125,0.0,0.0,0.22786458333333334
participant_58,7,0.6666666666666666,0.5,0.5,0.8,0.8,0.45,0.45,0.5625,0.5625,0,0.0,0.42857142857142855,0.42857142857142855,4.0,0.5,0.75,0.75,0.5,0.5,0.10104166666666667
participant_59,7,0.6666666666666666,0.5,0.5,0.05,0.05,0.75,0.75,0.6875,0.6875,3,0.09375,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.625,0.625,0.5,0.5,0.3216145833333333
