method,mae
global_mean_loocv,0.15154581933557298
range_k2,0.08705723775017256
range_k3,0.06088909313725491
range_k4,0.03895770770770771
range_k5,0.02803199404761905
quantile_k2,0.05715661015070924
quantile_k3,0.032031250000000004
quantile_k4,0.023497886473429958
quantile_k5,0.02204769736842106
